Country,Continent,GDP,GDPP
UnitedStates,NorthAmerica,21137,63543
China,Asia,14342,10261
Japan,Asia,5081,40293
Germany,Europe,3846,46329
India,Asia,2875,2099
UnitedKingdom,Europe,2825,42330
France,Europe,2716,41463
Italy,Europe,2001,33279
Brazil,SouthAmerica,1839,8718
Canada,NorthAmerica,1643,43119
Russia,EuropeAsia,1637,11229
SouthKorea,Asia,1622,31489
Australia,Oceania,1382,53799
Spain,Europe,1316,28152
Mexico,NorthAmerica,1265,9958
Indonesia,Asia,1119,4152
Netherlands,Europe,902,52477
SaudiArabia,Asia,793,23206
Turkey,EuropeAsia,761,9005
Switzerland,Europe,703,81392
Argentina,SouthAmerica,449,9921
Sweden,Europe,528,52073
Nigeria,Africa,448,2190
Poland,Europe,594,15673
Thailand,Asia,509,7306
SouthAfrica,Africa,350,5883
Philippines,Asia,402,3685
Colombia,SouthAmerica,323,6458
Egypt,Africa,302,3012
Pakistan,Asia,278,1260
Bangladesh,Asia,302,1855
Vietnam,Asia,283,2900
Chile,SouthAmerica,252,13120
Finland,Europe,268,48888
