Name,Origin,Size,Lifespan
Labrador Retriever,Canada,Large,12
German Shepherd,Germany,Large,11
Chihuahua,Mexico,Small,14
Siberian Husky,Russia,Medium,12
Poodle,France,Medium,14
Shiba Inu,Japan,Small,13
Australian Shepherd,United States,Medium,13
Bernese Mountain Dog,Switzerland,Large,8
Beagle,United Kingdom,Small,12
Rottweiler,Germany,Large,9
Dachshund,Germany,Small,12
Golden Retriever,United Kingdom,Large,11
Bulldog,United Kingdom,Medium,8
Pug,China,Small,12
Great Dane,Germany,Large,8
Border Collie,United Kingdom,Medium,12
Akita,Japan,Large,10
Corgi,United Kingdom,Small,12
Doberman Pinscher,Germany,Large,10
Boxer,Germany,Medium,10
Shih Tzu,China,Small,13
Irish Setter,Ireland,Large,12
Alaskan Malamute,United States,Large,11
Cocker Spaniel,United Kingdom,Medium,12
Vizsla,Hungary,Medium,12
