nameEn,nameJa,kindEn,kindJa,pricePerPound
Tuna,Maguro,Lean Red Meat,Akami,25
Tuna,Maguro,Medium Fat Red Meat,Toro,65
Tuna,Maguro,Fatty Red Meat,Otoro,115
Bonito,Katsuo,Red Meat,Akami,20
Yellowtail,Hamachi,Red Meat,Akami,27
Salmon,Salmon,White Fish,Shiromi,17
Sea Bream,Tai,White Fish,Shiromi,32
Sea Bass,Suzuki,White Fish,Shiromi,28
Mackerel,Aji,Silver Skinned,Hikarimono,14
Sardine,Iwashi,Silver Skinned,Hikarimono,11
Scallops,Hotate,Shellfish,Kai,26
Ark-shell clams,Akagai,Shellfish,Kai,29
